Query SMILE,Closest Match,LSH Distance,Actual Distance,Tanimoto Similarity
CC(N)(C)C1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC(C(=O)C(C(C(=O)N)))=CC=C3)=C2,No matches found,,,
CC1=CC=CC=C1CC(=O)NCC(=O)C2=CC(=O)CC=C2C3=CC=CC(C(=O)C(N))=C3,No matches found,,,
CC1=C(C(N))CCC=C1CCC=CC2=CC=CC=C2C=CC3=CC=C(C(=O)N)C=C3,No matches found,,,
O=C(CC1=CC=CC(=C(N))C(=O)1)CC2=CC=CC=C2C=CC3=CC=C(C(=O)N)C=C3,No matches found,,,
CC(N)(C)C1=CC=CC=C1NCC2=CC(N)=CC=C2CC3CCC(N)(C)CC3,No matches found,,,
O=C(CC1=CC(C(=C)N)=CC=C1)N2CCN(CC3=CC=C(C(=C(C(=O)N))N)C=C3)C(=O)2,No matches found,,,
O=C(CCC1=CC=CC(C(=C(N))(C(=O)N))=C1)N(C(=O)(N))C(=O)C=CCC2=CC=CC=C2,No matches found,,,
O=C(CC1=CC=C(C(=O)C)C=C1)NCC2=CC(C(C(N)))=CC=C2[CH1]C=CC3CCCCC3,No matches found,,,
C(C(=O)N)=1C2=CC=CC(C(=O)N)=C2C=CC=1C=CC3=CC(C(=C(N))N)=CC=C3C,No matches found,,,
C(C(C(=O)N))CC1=CC=CC=C1CCNC2=CC=CC=C2C3=CCC(=C)C(=O)S3,No matches found,,,
CN(CC1=CC=CC(N)=C1)C(=O)CC=CC2=C(C(=C)N)C=CC=C2CC3=CC=CC=C3,No matches found,,,
O=C(NCC1=CC=CC=C1)CC2CC(=O)C3=CC=C(C(C(C(C(C(=O)N)))))C=C3S2,No matches found,,,
O=C(CC1=CC=CC=C1)NCC(C(=O)N)=CC2=CC=C3C(=C2)C(=C(C(C(N)))(N))CC3,No matches found,,,
O=C(C1=CC(C(C))=CC=C1)NCC2=CC=CC(C(=C))=C2CCC(=C(N)(C))C(=O)N,No matches found,,,
O=C(CC1=CC(C(=C)N)=C(N)C=C1)N2CC(C(=O)N)=C(C3=CC=CC(C(=O)N)=C3)C2,No matches found,,,
CC1=CC=C(C(=O)(N))C=C1C(=O)CN(C)C2CC3=CC(C(C(C(C(=O)N))))=CC=C3CC2,No matches found,,,
N#CC1=C(C(=O)N)C=CC=C1CCC(=N)C=CC2=CC3=CC(C(=O)N)=CC=C3C=C2,No matches found,,,
C=C(CC1=CC=CC2=C1C=C(C(=O)N)C=C2)C=C(N)C3(C(=O)O)CC4=CC=CC=C4C3,No matches found,,,
O=C(CC1=C(C(=O)O)C=CC2=C1C=C(C(=O)N)C=C2)C=CC3(N)CC4=CC=CC=C4C3,No matches found,,,
CC1=CC=C(C(=O)O)C=C1NC(=O)NC(=O)C2=CC3=CC(Cl)=C(C(=C)C(N))C=C3C(=O)2,No matches found,,,
O=C(NC1=CC=CC(C(=O)C)=C1)N2CCC(=O)C(C3=CC=CC(C(=O)C(=N)(C(C)))=C3)=C2,No matches found,,,
O=C(NC1=C(C(=O)N)C=CC2=C1C=C(C(=O)N)CC2)C(=O)C=CC3=CC=CC(C)=C3,No matches found,,,
C=C(C(N)C1=CC=CC=C1)C(N)=CC2=CC=CC(=C2)CC3=CC=CC(C(=O)N)=C3,No matches found,,,
CC(C)(C(=O)C1CCC(C(C(=O)(N)))CC1)CCCCC2=CC=CC(C(=C)N)=C2C,No matches found,,,
CC1=CC=C(C(=O)(N))C=C1CC2=CC(N)=CC=C2CCNC3=C(N)C=CC(=O)C3,No matches found,,,
CC1=CC=CC=C1C(=O)NC=CC2=CC(=O)CC=C2C3=CC=CC(C(=O)N)=C3,No matches found,,,
O=C(CC1=CC(C(=O)C(=O)(N))=CC=C1)N2CCC(CC3=CC=C(C(=O)(N))C=C3)C2(=O),No matches found,,,
CC1=C(C(=O)N)C=CC=C1CSC2=CC=CC=C2C=C3C=C(C(=O)N)C4=CC=CN=C34,No matches found,,,
CC1=C(C(=O)N)C=CC=C1CCCCC=CC2=C(C(=O)N)C(=C)C3=CC=CC=C3C2,No matches found,,,
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=CC3=CC(C)=CN=C(N)3,No matches found,,,
C(N)CCCCC1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC=CC(C(=O)N)=C3)C(=O)2,No matches found,,,
CC(=C(C(=O)N))C1=CC=CC=C1CCNC2=CC=CC=C2C3=C(N)NC(=O)CS3,No matches found,,,
O=C(CC1=CC=CC(C(C)C)=C1)N2C(C(=C)C)=CCC(C3=CC=C(C(=O)N)C=C3)=C2,No matches found,,,
CC1=CC=CC=C1NC=CC=CC2=CC=CC3=C2C=CC(C(=C(C(N)))(N))=C3,No matches found,,,
CN(CC1=CC(C(=O)N)=CC=C1)C(=O)CC(=O)C2=CCC(=C)C(C)=C2NC3=CC=CC=C3,No matches found,,,
O=C(CC1=CC=CC=C1)NCCCC2=C(C(=O)N)CCC3=C2C=C(C(=O)N)CC3,No matches found,,,
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=C(N)C(Cl)=C(N)C,No matches found,,,
C(C(=O)(N))=CC1=CC(C(=O)O)=CC=C1CC(=O)C2=C(C)C3=CC=C(C(=C)(C))C=C3C2=O,No matches found,,,
O=C(NCC1=CC=C(N)C=C1)CC2=C(C(=O)C)CC3=CC=CC(C(=O)N)=C3S2,No matches found,,,
C(CC1=CC=C(C(=N)C)C=C1)C(O)C2=CC=CC=C2CC3=CC=CC(C(=O)N)=C3,No matches found,,,
C(C(=O)C)=C(CC1=CC(C(=O)N)=CC=C1)CCC=C2CCC=C2[NH1]C3=CC=CC=C3,No matches found,,,
NC(=O)C1=CC=C(C(=O)N)C=C1CC(=C)C2=C(C(=O)N)C3=CC=CC(C(=O)C)=C3S2,No matches found,,,
O=C(NC1=CC=CC=C1C)N2CC(C(=C)C(C(=O)C))=CC3=CC=C(C(=O)C(C(N)))C=C32,No matches found,,,
C(C(=O)N)=C(CC1=CC=CC(C(=O)C)=C1)N2CCCC(C3=CC=CC(C(=O)N)=C3)=C2,No matches found,,,
CC1=CC(C(C(C(=O)(N))))=CC=C1C2=CC=C(C=C2CC(=O)CC=CC(=C(N))C)C,No matches found,,,
CC1=CC=CC=C1CCCC(=O)NC=CC2=CC3=CC=C(C(=O)C(=O)(N))C=C3C2,No matches found,,,
CCC1=C(N)C=C(C(=O)N)C=C1CCCC2=CC=CC=C2C3=CCCCC(=N)3,No matches found,,,
O=C(CC1=CC=CC(=O)C1)CC2=CC(C(=O)N)=CC=C2C(=O)ONC(=O)C3=CC=CC=C3,No matches found,,,
C(C(=O)N)C1=CC=CC=C1NC(=O)NCC2=CC3=CC(C)=C(C(=O)C(N))C=C3C2,No matches found,,,
O=C(CC1CCCCC1)NCC2CC3=C(C(=O)C(C(C(=O)N)))C=CC=C3CC2,No matches found,,,
O=C(C1=CC(N)=CC=C1NC(=O)C2=CC=CC=C2)C3CCCC(C(C(=O)(N)))=3,No matches found,,,
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=O)N)C(=O)CC(=C2)CCCC(=O)(N),No matches found,,,
C=C(N)C1=CC=CC=C1CCC2=CC=CC=C2CCC(N)C3CCCCC3,No matches found,,,
CCC1=CC=C(C(=C(=N))C(C(=O)(N)))C(O)=C1CC(=O)NC(=O)C2=CC=CC=C2,No matches found,,,
C(=O)(CC1=CC=C(C)C=C1)NCC=CC2=C(C(=O)N)C=CC=C2NC(=C)C(=O)CC,No matches found,,,
O=C(CC1=CC=CC=C1)NC(=C)C=CC2=CC3=CC=C(C(C(CC))N)C=C3C=C2,No matches found,,,
O=C(CC1=CC=C(C(=O)N)C=C1)C(=C)C2=CN=NN=C2CC3=CC=CC(C(=O)N)=C3,No matches found,,,
O=C(CC1=CC(C(=O)N)=CC=C1)CCC2=CC=CC=C2CC=C(C(=O)O)C3=CCCC=C3,No matches found,,,
CC(C(=O)C1=CC=CC=C1)C(=N)CCC(=O)N2CCC3=CC=C(C(=O)N)C=C3C2,No matches found,,,
O=C(CC1=CC=C(C(=O)C)C=C1)NCC2=CC(N)=CC(C)=C2N3CCCC(C)C3,No matches found,,,
