LIMO compound,LIMO docked affinity,Closest REAL compound,REAL docked affinity,Compound similarity,Similarity
CC(N)(C)C1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC(C(=O)C(C(C(=O)N)))=CC=C3)=C2,1.00417780505609e-10,Brc1cc(ccc1)C(=O)CCC(=O)Nc2c(N3CCCC3)ccc(c2)C(=O)N,7.556203401040325e-09,0.359,0.3815789473684211
CC1=CC=CC=C1CC(=O)NCC(=O)C2=CC(=O)CC=C2C3=CC=CC(C(=O)C(N))=C3,1.021270221893e-10,O=C(NCCNC(=O)Cc1c(cccc1)C)c2cc(c3ccccc3)ccc2,6.601813219781305e-09,0.462,0.46153846153846156
CC1=C(C(N))CCC=C1CCC=CC2=CC=CC=C2C=CC3=CC=C(C(=O)N)C=C3,1.27183663395464e-10,O=C(N)c1ccc(cc1)C=CC(=O)N(CCN(C(=O)C2=CCC2)C)C,3.485179787238657e-07,0.362,0.36764705882352944
O=C(CC1=CC=CC(=C(N))C(=O)1)CC2=CC=CC=C2C=CC3=CC=C(C(=O)N)C=C3,1.337893312276e-10,Fc1c(O)c(ccc1)CC(=O)NCCNC(=O)C=Cc2ccc(cc2)C(=O)N,1.9967951264484666e-07,0.438,0.3287671232876712
CC(N)(C)C1=CC=CC=C1NCC2=CC(N)=CC=C2CC3CCC(N)(C)CC3,1.53130566707913e-10,FC(F)(c1c(NCc2ccc(cc2)CC3CC3)cccc1)C,4.125966479155306e-07,0.377,0.4
O=C(CC1=CC(C(=C)N)=CC=C1)N2CCN(CC3=CC=C(C(=C(C(=O)N))N)C=C3)C(=O)2,1.5573704881045e-10,O=C(N)c1cc(ccc1)CC(=O)N2CC(=O)N(Cc3ccccc3)CC2,4.01771083005885e-08,0.455,0.47692307692307695
O=C(CCC1=CC=CC(C(=C(N))(C(=O)N))=C1)N(C(=O)(N))C(=O)C=CCC2=CC=CC=C2,1.63825722985531e-10,O=C(N)c1cc(ccc1)CCNC(=O)CC=CCc2ccccc2,6.44495812539366e-08,0.406,0.40625
O=C(CC1=CC=C(C(=O)C)C=C1)NCC2=CC(C(C(N)))=CC=C2[CH1]C=CC3CCCCC3,1.72334506893076e-10,O=C(NCC=CCNC(=O)Cc1ccc(cc1)C(=O)C)C=CC2CCCCC2,1.7571392636239635e-08,0.538,0.5230769230769231
C(C(=O)N)=1C2=CC=CC(C(=O)N)=C2C=CC=1C=CC3=CC(C(=C(N))N)=CC=C3C,1.87509165132388e-10,O=C(N)c1c(c2c(ccc(c2)C(=O)N)C)cccc1C(=O)N,2.615858945450191e-07,0.407,0.4339622641509434
C(C(C(=O)N))CC1=CC=CC=C1CCNC2=CC=CC=C2C3=CCC(=C)C(=O)S3,2.0402000529389001e-10,O=C(Nc1c(cccc1)CCC(=O)N)C=2c3c(cccc3)CC2,2.6346771447493833e-08,0.373,0.3787878787878788
CN(CC1=CC=CC(N)=C1)C(=O)CC=CC2=C(C(=C)N)C=CC=C2CC3=CC=CC=C3,2.14616400696432e-10,O=C(N(Cc1cc(N)ccc1)C)c2c(cccc2)Cc3ccccc3,1.5613340361974413e-08,0.586,0.5862068965517241
O=C(NCC1=CC=CC=C1)CC2CC(=O)C3=CC=C(C(C(C(C(C(=O)N)))))C=C3S2,2.18269451941213e-10,S1C(=NCCC(=O)N)N(C(=O)C1CC(=O)NCc2ccccc2)CCCCc3cc(F)c(F)cc3,1.7571392636239635e-08,0.457,0.4625
O=C(CC1=CC=CC=C1)NCC(C(=O)N)=CC2=CC=C3C(=C2)C(=C(C(C(N)))(N))CC3,2.25763151910234e-10,O=C(Oc1cc2c(cc1)CCC2=O)CCNC(=O)Cc3ccccc3,7.131820520357163e-08,0.389,0.4057971014492754
O=C(C1=CC(C(C))=CC=C1)NCC2=CC=CC(C(=C))=C2CCC(=C(N)(C))C(=O)N,2.3351412809783004e-10,O=C(NCc1c(cccc1)CCC(=O)OC)c2cc(ccc2)CC,1.9967951264484666e-07,0.492,0.5
O=C(CC1=CC(C(=C)N)=C(N)C=C1)N2CC(C(=O)N)=C(C3=CC=CC(C(=O)N)=C3)C2,2.3351412809783004e-10,O=C(N1CC2=C(C1)CN(C(=O)Cc3cc(ccc3)C(=O)N)C2)c4c(N)ccc(c4)CC,2.241506370730649e-09,0.538,0.5384615384615384
CC1=CC=C(C(=O)(N))C=C1C(=O)CN(C)C2CC3=CC(C(C(C(C(=O)N))))=CC=C3CC2,2.49823543956009e-10,O=C(NC1C(NC(=O)CCCc2cc3c(cc2)CCCC3)CC1)c4c(ccc(c4)C(=O)N)C,1.7401601321116975e-09,0.514,0.5277777777777778
N#CC1=C(C(=O)N)C=CC=C1CCC(=N)C=CC2=CC3=CC(C(=O)N)=CC=C3C=C2,2.54075866729398e-10,O=C(OC)c1c(C#N)c(ccc1)COC(=O)C=Cc2cc3c(cc2)cccc3,5.7267700354556634e-08,0.451,0.4444444444444444
C=C(CC1=CC=CC2=C1C=C(C(=O)N)C=C2)C=C(N)C3(C(=O)O)CC4=CC=CC=C4C3,2.6279888453013004e-10,[O-]C(=O)c1cc2c(cc1)cccc2CNC(=O)C3(Cc4c(cccc4)C3)C,2.060106741048205e-09,0.441,0.417910447761194
O=C(CC1=C(C(=O)O)C=CC2=C1C=C(C(=O)N)C=C2)C=CC3(N)CC4=CC=CC=C4C3,2.67272064534754e-10,Fc1c(cc(cc1)C(=O)N)C(=O)NCC2(C([O-])=O)Cc3c(cccc3)C2,8.026214485119953e-08,0.366,0.34285714285714286
CC1=CC=C(C(=O)O)C=C1NC(=O)NC(=O)C2=CC3=CC(Cl)=C(C(=C)C(N))C=C3C(=O)2,3.00790367580552e-10,Clc1c(Cl)cc2c(NC=C(C(=O)Nc3c(ccc(c3)C(=O)C)C)C2=O)c1,8.44308018487042e-08,0.364,0.31645569620253167
O=C(NC1=CC=CC(C(=O)C)=C1)N2CCC(=O)C(C3=CC=CC(C(=O)C(=N)(C(C)))=C3)=C2,3.1111720327915203e-10,O=C(N1CC=C(c2ccc(cc2)CC)CC1)Nc3cc(ccc3)C(=O)C,1.6034035719839377e-07,0.425,0.4225352112676056
